variable,country,essround,non_neutrality,avg_deviation_from_neutrality,dispersion,moderate_divergence,moderate_group_consensus,moderate_size_parity
imbgeco,United Kingdom,2008,0.7720961947653788,0.06747099644755039,0.3943562193037718,0.43050139261759224,0.6846711744185046,0.2539198678918301
imbgeco,United Kingdom,2010,0.759676576979013,0.0972050266474728,0.3863560061501027,0.43287967968922436,0.6666651074941752,0.19383540082034578
imbgeco,United Kingdom,2012,0.7681101204791028,0.0908998321869472,0.3970016865109136,0.4400760479759912,0.6607889146729415,0.2596886488483604
imbgeco,United Kingdom,2014,0.7717365895442089,0.02757202751485597,0.4046297917248805,0.4428856347886718,0.6724503512382993,0.3305333611875908
imbgeco,United Kingdom,2016,0.7823367473255414,0.1631389208399865,0.3668295089452214,0.4313345122811296,0.6788353397467624,0.15293853304286176
imbgeco,United Kingdom,2018,0.799661296141351,0.18701391092452546,0.38498357616440765,0.44938517162456065,0.6174312644843907,0.20788069155498304
imbgeco,United Kingdom,2020,0.8319038321126035,0.3291517749801724,0.3626241408143171,0.4425314645945207,0.7117834938035389,0.07511457336185791
imbgeco,United Kingdom,2022,0.826887414670789,0.27363602491245304,0.38457550595819545,0.45763389565267243,0.6471416055159209,0.13981454864922652
imbgeco,Greece,2002,0.8175892198291953,0.3118177106642406,0.4294660836982547,0.4868895671657133,0.5777831291788225,0.3300503147208002
imbgeco,Greece,2008,0.8175603800674958,0.34472795164671777,0.3877271661132066,0.4460599306259685,0.6611181431844995,0.11353828830522551
imbgeco,Greece,2010,0.8254428118958398,0.4181547853732903,0.37241109453124804,0.464771845037485,0.5985271080565979,0.10756018172461251
imbgeco,Greece,2012,NA,NA,NA,NA,NA,NA
imbgeco,Greece,2014,NA,NA,NA,NA,NA,NA
imbgeco,Greece,2016,NA,NA,NA,NA,NA,NA
imbgeco,Greece,2018,NA,NA,NA,NA,NA,NA
imbgeco,Greece,2020,0.7827224501598358,0.23710422260757902,0.3504554463840331,0.4021755609521123,0.6785096903420593,0.08814099241735197
imbgeco,Greece,2022,0.8009624772672561,0.21875663455265812,0.335238160623176,0.416727081329447,0.682836020290821,0.12514315345349677
imbgeco,Hungary,2002,0.6707667427507944,0.23434427549619052,0.3297285408578695,0.40031068648420187,0.6779096965021223,0.0731044772234963
imbgeco,Hungary,2008,0.7563869939146814,0.32706903121000475,0.3601873426637938,0.4232987104706001,0.6327882156715936,0.04376709288333596
imbgeco,Hungary,2010,0.7317301455069255,0.25699466686009187,0.3591327226236372,0.40760571347759883,0.6609022122316724,0.06708756681236444
imbgeco,Hungary,2012,0.7330894206187797,0.2268171427559505,0.3656738615708669,0.41551741167052914,0.6758033989654468,0.13212155966916614
imbgeco,Hungary,2014,0.7637913692374485,0.33142840600305834,0.3370038422808944,0.39039300776992086,0.6946689459420153,0.02013348389145843
imbgeco,Hungary,2016,0.8198480613474941,0.4340169964005428,0.370092499024009,0.3842578773365515,0.70400344380890445,0.012988175184811263
imbgeco,Hungary,2018,0.7968404552081582,0.3181052970825422,0.35221474988470913,0.402031462671752,0.6757255827182131,0.03733608975317147
imbgeco,Hungary,2020,0.7490501999002883,0.2773260727490457,0.3468711002112173,0.40815863442827577,0.7054065522304955,0.059129979094284274
imbgeco,Hungary,2022,0.8205860068788267,0.3216895664979209,0.40467048246151016,0.4341589268488251,0.6744524482837089,0.1002109421623409
imbgeco,Ireland,2002,0.7369322141774179,0.15994167529931272,0.3475942041141029,0.44632561635483436,0.6080078307047139,0.48673534343151736
imbgeco,Ireland,2008,0.7998217083559285,0.14009264647464512,0.357648755220295,0.42936530294345626,0.6581925558583828,0.24926471984459214
imbgeco,Ireland,2010,0.79546894253884,0.22610928404885158,0.3664321740350215,0.4481760867539157,0.6727388522692956,0.2238593576953222
imbgeco,Ireland,2012,0.8014573586362218,0.14085957099079796,0.38577021100279696,0.42771002083208104,0.665875586248105,0.25227043735794735
imbgeco,Ireland,2014,0.7800121889433748,0.11978875454868483,0.36957469778853186,0.42894792943333115,0.6700179557995813,0.2647703757026297
imbgeco,Ireland,2016,0.812244384888652,0.01242399378047665,0.3579596658570936,0.4323655726957945,0.6708600748319122,0.18201764416540775
imbgeco,Ireland,2018,0.8337846748055714,0.0870916848192783,0.3587127173621046,0.446556360888595,0.6478439146146155,0.1408022688991234
imbgeco,Ireland,2020,0.8498738982879703,0.16086334743229946,0.3706008519279163,0.4677981816114385,0.6228500476537184,0.16182329048141203
imbgeco,Ireland,2022,0.8302655672787038,0.09825614430942071,0.3946273940269839,0.4473232560148085,0.6723710792992159,0.12977415298173828
imbgeco,Israel,2002,0.7980448478095823,0.11739629318603183,0.4376265295241042,0.4875426925898526,0.6069618655657236,0.7235004304885458
imbgeco,Israel,2008,0.8176953880727723,0.05412949929521709,0.4036821083185196,0.4521894463695999,0.5966536719768838,0.47001969848921643
